iter	Passed	Remaining
631	34776	20249
632	34836	20197
633	34893	20143
634	34945	20086
635	34995	20028
636	35055	19976
637	35107	19919
638	35161	19864
639	35212	19807
640	35263	19749
641	35321	19696
642	35375	19640
643	35429	19585
644	35484	19530
645	35540	19475
646	35595	19420
647	35644	19362
648	35694	19304
649	35748	19249
650	35797	19190
651	35849	19134
652	35902	19078
653	35959	19024
654	36010	18967
655	36061	18910
656	36117	18855
657	36168	18798
658	36223	18743
659	36277	18688
660	36336	18635
661	36391	18580
662	36447	18525
663	36500	18470
664	36551	18413
665	36600	18355
666	36651	18298
667	36706	18243
668	36760	18187
669	36816	18133
670	36878	18082
671	36933	18027
672	36987	17971
673	37040	17915
674	37091	17858
675	37143	17802
676	37193	17745
677	37252	17692
678	37310	17638
679	37368	17585
680	37426	17531
681	37485	17478
682	37541	17424
683	37597	17369
684	37655	17316
685	37705	17258
686	37758	17202
687	37815	17149
688	37867	17092
689	37919	17036
690	37974	16981
691	38030	16927
692	38084	16871
693	38139	16816
694	38193	16761
695	38245	16704
696	38300	16649
697	38357	16595
698	38416	16542
699	38474	16489
700	38530	16434
701	38582	16378
702	38632	16321
703	38688	16266
704	38749	16214
705	38807	16160
706	38864	16106
707	38920	16051
708	38974	15996
709	39027	15940
710	39080	15885
711	39132	15828
712	39183	15772
713	39235	15716
714	39290	15661
715	39344	15606
716	39397	15550
717	39447	15493
718	39507	15440
719	39564	15386
720	39617	15330
721	39665	15272
722	39721	15218
723	39780	15164
724	39839	15111
725	39895	15056
726	39948	15001
727	39999	14944
728	40054	14889
729	40101	14832
730	40151	14775
731	40200	14718
732	40257	14663
733	40306	14607
734	40357	14550
735	40407	14494
736	40463	14439
737	40515	14383
738	40568	14328
739	40620	14271
740	40679	14218
741	40732	14163
742	40791	14109
743	40850	14056
744	40902	14000
745	40955	13944
746	41010	13889
747	41073	13837
748	41129	13783
749	41185	13728
750	41238	13672
751	41294	13618
752	41351	13564
753	41403	13508
754	41455	13452
755	41506	13396
756	41563	13341
757	41619	13287
758	41676	13233
759	41734	13179
760	41787	13123
761	41838	13067
762	41890	13011
763	41943	12956
764	41995	12900
765	42048	12845
766	42100	12789
767	42152	12733
768	42206	12678
769	42264	12624
770	42316	12568
771	42369	12513
772	42420	12457
773	42472	12401
774	42523	12345
775	42577	12290
776	42633	12235
777	42685	12180
778	42748	12127
779	42811	12075
780	42865	12019
781	42920	11965
782	42976	11910
783	43030	11855
784	43090	11801
785	43146	11747
786	43196	11690
787	43253	11636
788	43307	11581
789	43364	11527
790	43422	11473
791	43490	11421
792	43549	11367
793	43603	11312
794	43656	11257
795	43708	11201
796	43768	11148
797	43820	11092
798	43876	11037
799	43927	10981
800	43985	10927
801	44036	10871
802	44091	10817
803	44149	10762
804	44205	10708
805	44259	10652
806	44310	10597
807	44367	10542
808	44423	10488
809	44476	10432
810	44531	10377
811	44588	10323
812	44647	10269
813	44704	10214
814	44764	10161
815	44823	10107
816	44883	10053
817	44936	9998
818	44992	9943
819	45039	9886
820	45092	9831
821	45149	9777
822	45207	9722
823	45258	9666
824	45313	9612
825	45368	9556
826	45428	9503
827	45486	9448
828	45541	9394
829	45602	9340
830	45665	9286
831	45720	9231
832	45775	9177
833	45834	9122
834	45890	9068
835	45947	9013
836	45998	8957
837	46049	8902
838	46107	8847
839	46160	8792
840	46207	8736
841	46264	8681
842	46326	8627
843	46381	8572
844	46433	8517
845	46487	8462
846	46538	8406
847	46592	8351
848	46644	8296
849	46702	8241
850	46760	8187
851	46816	8132
852	46869	8077
853	46925	8022
854	46977	7966
855	47035	7912
856	47087	7857
857	47138	7801
858	47191	7746
859	47253	7692
860	47307	7637
861	47361	7582
862	47415	7527
863	47469	7472
864	47521	7416
865	47575	7361
866	47635	7307
867	47688	7252
868	47738	7196
869	47792	7141
870	47842	7085
871	47893	7030
872	47943	6974
873	47994	6919
874	48051	6864
875	48104	6809
876	48159	6754
877	48214	6699
878	48273	6645
879	48324	6589
880	48373	6533
881	48426	6478
882	48479	6423
883	48541	6369
884	48594	6314
885	48645	6259
886	48709	6205
887	48761	6150
888	48811	6094
889	48862	6039
890	48918	5984
891	48976	5929
892	49030	5874
893	49086	5820
894	49137	5764
895	49198	5710
896	49251	5655
897	49302	5600
898	49355	5544
899	49407	5489
900	49461	5434
901	49517	5379
902	49579	5325
903	49629	5270
904	49682	5215
905	49736	5160
906	49788	5105
907	49845	5050
908	49902	4995
909	49956	4940
910	50010	4885
911	50066	4830
912	50115	4775
913	50171	4720
914	50228	4666
915	50288	4611
916	50338	4556
917	50393	4501
918	50445	4446
919	50499	4391
920	50556	4336
921	50604	4281
922	50662	4226
923	50722	4171
924	50775	4116
925	50826	4061
926	50879	4006
927	50937	3952
928	50989	3896
929	51043	3841
930	51099	3787
931	51152	3732
932	51208	3677
933	51256	3621
934	51307	3566
935	51373	3512
936	51423	3457
937	51476	3402
938	51529	3347
939	51582	3292
