iter	Passed	Remaining
145	13800	80721
146	13894	80627
147	14002	80610
148	14120	80650
149	14213	80541
150	14299	80399
151	14391	80290
152	14482	80176
153	14575	80068
154	14692	80100
155	14796	80054
156	14896	79984
157	14988	79876
158	15093	79832
159	15190	79750
160	15284	79648
161	15390	79611
162	15487	79529
163	15578	79413
164	15672	79312
165	15770	79230
166	15865	79138
167	15967	79076
168	16058	78962
169	16146	78834
170	16238	78722
171	16326	78597
172	16407	78433
173	16491	78287
174	16587	78196
175	16677	78078
176	16766	77957
177	16851	77819
178	16952	77756
179	17044	77647
180	17139	77554
181	17229	77437
182	17313	77294
183	17407	77199
184	17493	77063
185	17581	76943
186	17670	76824
187	17760	76709
188	17841	76558
189	17934	76457
190	18036	76395
191	18136	76323
192	18226	76211
193	18325	76137
194	18416	76025
195	18497	75876
196	18577	75723
197	18658	75577
198	18746	75456
199	18836	75346
200	18919	75207
201	19020	75140
202	19107	75018
203	19190	74878
204	19289	74805
205	19383	74711
206	19477	74617
207	19568	74510
208	19670	74447
209	19768	74369
210	19869	74299
211	19959	74188
212	20065	74140
213	20158	74040
214	20250	73938
215	20353	73875
216	20449	73786
217	20549	73713
218	20652	73652
219	20770	73641
220	20867	73556
221	20975	73507
222	21071	73420
223	21162	73312
224	21253	73206
225	21337	73076
226	21422	72950
227	21509	72830
228	21607	72747
229	21704	72662
230	21791	72544
231	21886	72452
232	21964	72304
233	22045	72165
234	22131	72046
235	22218	71926
236	22307	71817
237	22395	71702
238	22480	71580
239	22565	71457
240	22665	71382
241	22752	71266
242	22840	71152
243	22921	71020
244	23009	70905
245	23095	70788
246	23182	70672
247	23268	70557
248	23367	70478
249	23465	70395
250	23556	70294
251	23633	70150
252	23719	70033
253	23815	69945
254	23904	69840
255	23990	69722
256	24080	69618
257	24164	69496
258	24261	69411
259	24351	69309
260	24440	69201
261	24532	69103
262	24619	68990
263	24710	68889
264	24797	68779
265	24873	68636
266	24958	68518
267	25036	68383
268	25125	68278
269	25211	68165
270	25311	68090
271	25406	68000
272	25498	67902
273	25594	67817
274	25691	67731
275	25774	67611
276	25858	67494
277	25952	67402
278	26039	67292
279	26128	67186
280	26219	67087
281	26311	66992
282	26401	66889
283	26485	66772
284	26576	66675
285	26669	66580
286	26767	66500
287	26877	66446
288	26967	66345
289	27063	66258
290	27159	66171
291	27261	66098
292	27362	66025
293	27457	65934
294	27561	65868
295	27663	65793
296	27752	65689
297	27838	65579
298	27934	65492
299	28032	65408
300	28119	65299
301	28212	65205
302	28306	65114
303	28409	65043
304	28504	64952
305	28603	64871
306	28707	64802
307	28804	64716
308	28896	64620
309	28997	64542
310	29091	64451
311	29184	64355
312	29276	64258
313	29366	64158
314	29452	64048
315	29528	63915
316	29617	63813
317	29696	63688
318	29775	63565
319	29861	63454
320	29955	63363
321	30040	63253
322	30125	63142
323	30217	63045
324	30310	62952
325	30404	62860
326	30487	62746
327	30584	62660
328	30673	62559
329	30758	62448
330	30845	62343
331	30930	62234
332	31016	62127
333	31105	62024
334	31183	61901
335	31270	61796
336	31350	61678
337	31448	61593
338	31533	61485
339	31616	61372
340	31697	61257
341	31775	61134
342	31852	61012
343	31951	60930
344	32040	60830
345	32131	60734
346	32213	60619
347	32293	60504
348	32380	60400
349	32466	60295
350	32554	60192
351	32647	60100
352	32748	60022
353	32838	59925
354	32930	59832
355	33020	59733
356	33105	59626
357	33192	59524
358	33285	59431
359	33370	59324
360	33467	59241
361	33549	59128
362	33644	59040
363	33747	58966
364	33842	58876
365	33927	58770
366	34032	58699
367	34125	58607
368	34217	58513
369	34314	58428
370	34399	58320
371	34482	58212
372	34580	58129
373	34667	58025
374	34761	57936
375	34854	57842
376	34951	57757
377	35044	57665
378	35156	57605
379	35256	57523
380	35343	57421
381	35426	57312
382	35516	57215
383	35604	57115
384	35689	57011
385	35782	56918
386	35871	56820
387	35962	56723
388	36047	56619
389	36131	56513
390	36208	56397
391	36299	56301
392	36388	56203
393	36470	56094
394	36563	56002
395	36653	55906
396	36742	55808
397	36841	55725
398	36931	55629
